Date,Open,High,Low,Close,Adj_Close,Volume,Day
2013-09-26,14.33,14.39,14.306667,14.39,14.358182,21300,1
2013-09-27,14.396667,14.4,14.323333,14.396667,14.364833,23400,2
2013-09-30,14.243333,14.376667,14.243333,14.373333,14.341552,16200,3
2013-10-01,14.333333,14.553333,14.333333,14.54,14.50785,9000,4
2013-10-02,14.58,14.586667,14.47,14.566667,14.534457,219900,5
2013-10-03,14.486667,14.5,14.356667,14.476667,14.444657,26400,6
2013-10-04,14.49,14.583333,14.49,14.563333,14.531131,10500,7
2013-10-07,14.45,14.53,14.393333,14.393333,14.361507,9000,8
2013-10-08,14.416667,14.416667,14.213333,14.243333,14.211839,23400,9
2013-10-09,14.223333,14.273333,14.12,14.253333,14.221817,43800,10
2013-10-10,14.373333,14.473333,14.373333,14.473333,14.441331,15300,11
2013-10-11,14.52,14.59,14.493333,14.583333,14.551087,9300,12
2013-10-14,14.523333,14.693333,14.52,14.683333,14.650867,17100,13
2013-10-15,14.656667,14.693333,14.563333,14.563333,14.531131,4800,14
2013-10-16,14.68,14.793333,14.68,14.793333,14.760623,96600,15
2013-10-17,14.82,14.96,14.756667,14.96,14.926921,29400,16
2013-10-18,15.116667,15.116667,14.94,15.02,14.986789,16500,17
2013-10-21,15.096667,15.096667,14.976667,14.99,14.956855,39600,18
2013-10-22,15.063333,15.143333,15.036667,15.056667,15.023375,51000,19
2013-10-23,15,15.04,14.913333,15.023333,14.990113,29100,20
2013-10-24,15.08,15.08,14.99,15.046667,15.013396,50400,21
2013-10-25,15.05,15.05,14.983333,14.983333,14.950202,13800,22
2013-10-28,15.09,15.09,14.966667,14.976667,14.943552,21300,23
2013-10-29,15.056667,15.073333,15.04,15.073333,15.040004,5700,24
2013-10-30,15.036667,15.056667,14.883333,14.926667,14.893662,19500,25
2013-10-31,14.9,14.953333,14.88,14.88,14.847098,9600,26
2013-11-01,14.873333,14.916667,14.823333,14.916667,14.883684,13800,27
2013-11-04,15.026667,15.083333,14.943333,15.066667,15.033352,40500,28
2013-11-05,15.08,15.123333,15.023333,15.123333,15.089893,8100,29
2013-11-06,15.143333,15.156667,15.013333,15.03,14.996766,6000,30
2013-11-07,14.913333,14.94,14.813333,14.823333,14.790556,9900,31
2013-11-08,14.9,15.126667,14.9,15.12,15.086567,8100,32
2013-11-11,15.173333,15.223333,15.163333,15.213333,15.179694,12900,33
