Date,Open,High,Low,Close,Adj_Close,Volume,Day 
2022-09-26,39.293331,39.646667,39.113335,39.186668,39.186668,25500,1
2022-09-27,39.596668,40.126667,39.286667,39.563332,39.563332,51300,2
2022-09-28,39.963333,41.02,39.959999,40.830002,40.830002,41100,3
2022-09-29,39.849998,40.209999,39.849998,40.209999,40.209999,9600,4
2022-09-30,40.213333,40.823334,40.213333,40.403332,40.403332,8100,5
2022-10-03,40.869999,40.950001,40.093334,40.77,40.77,13500,6
2022-10-04,41.459999,42.040001,41.459999,42.040001,42.040001,13200,7
2022-10-05,41.353333,42.023335,41.200001,41.993332,41.993332,27900,8
2022-10-06,41.740002,42.406666,41.740002,42.18,42.18,30900,9
2022-10-07,41.623333,41.623333,40.273335,40.376667,40.376667,30000,10
2022-10-10,40.493332,40.493332,39.700001,39.926666,39.926666,3300,11
2022-10-11,39.970001,40.43,39.970001,40.060001,40.060001,3300,12
2022-10-12,40.033333,40.23,39.486668,40.116669,40.116669,16500,13
2022-10-13,38.956669,40.666668,38.903332,40.610001,40.610001,11700,14
2022-10-14,41.033333,41.033333,39.423332,39.513332,39.513332,15600,15
2022-10-17,40.196667,40.693333,40.146667,40.563332,40.563332,12000,16
2022-10-18,41.16,41.529999,40.830002,40.896667,40.896667,7200,17
2022-10-19,40.303333,40.303333,39.650002,39.650002,39.650002,12900,18
2022-10-20,39.676666,40.533333,39.676666,39.783333,39.783333,6900,19
2022-10-21,39.91,40.466667,39.91,40.446667,40.446667,6900,20
2022-10-24,40.653332,40.653332,40.163334,40.463333,40.463333,10200,21
2022-10-25,40.650002,41.833332,40.650002,41.560001,41.560001,29700,22
2022-10-26,42.470001,42.900002,41.866669,41.926666,41.926666,38400,23
2022-10-27,41.626667,41.706669,41.166668,41.166668,41.166668,41700,24
2022-10-28,41.186668,42.146667,41.186668,42.143333,42.143333,10800,25
2022-10-31,42.139999,42.293331,41.953335,42.043331,42.043331,15600,26
2022-11-01,42.41,42.41,41.786667,41.923332,41.923332,11700,27
2022-11-02,41.433334,41.543331,40.866669,40.866669,40.866669,4500,28
2022-11-03,40.866669,40.996666,40.59,40.626667,40.626667,18600,29
2022-11-04,40.970001,40.970001,39.166668,39.549999,39.549999,9300,30
2022-11-07,39.549999,39.833332,39.126667,39.130001,39.130001,14100,31
2022-11-08,39.290001,40.060001,39.103333,39.59,39.59,11100,32
2022-11-09,39.363335,39.363335,38.276669,38.279999,38.279999,16200,33
2022-11-10,39.799999,40.16,39.5,40.16,40.16,33300,34
2022-11-11,40.096668,40.106667,39.356667,39.849998,39.849998,27600,35
2022-11-14,39.856667,40.496666,39.856667,40.053333,40.053333,19500,36
2022-11-15,40.826668,40.826668,40.130001,40.206669,40.206669,8400,37
2022-11-16,39.926666,39.926666,39.113335,39.173332,39.173332,33000,38
2022-11-17,38.73,38.763332,38.523335,38.743332,38.743332,11400,39
2022-11-18,39.450001,40.046665,39.450001,39.726665,39.726665,16500,40
2022-11-21,39.596668,39.596668,39.209999,39.209999,39.209999,10200,41
2022-11-22,38.919998,39.856667,38.919998,39.816666,39.816666,9000,42
2022-11-23,39.786667,40.283333,39.786667,40.136665,40.136665,8100,43
2022-11-25,40.276669,40.463333,40.276669,40.463333,40.463333,4500,44
2022-11-28,40.483334,41.040001,40.223331,40.41,40.41,12300,45
2022-11-29,40.686668,40.75,40.366669,40.366669,40.366669,13500,46
2022-11-30,40.613335,41.713333,40.566666,41.713333,41.713333,12600,47
2022-12-01,41.523335,41.68,41.386665,41.403332,41.403332,17400,48
2022-12-02,40.900002,42.34,40.900002,42.25,42.25,44700,49
2022-12-05,41.973331,41.973331,40.756668,40.983334,40.983334,32700,50
2022-12-06,40.496666,40.503334,39.68,39.82,39.82,10200,51
2022-12-07,40.826668,40.873333,40.546665,40.713333,40.713333,36300,52
2022-12-08,41.196667,41.343334,41.033333,41.200001,41.200001,78300,53
2022-12-09,41.056667,41.123333,40.433334,40.433334,40.433334,6900,54
2022-12-12,40.673332,41.553333,40.673332,41.553333,41.553333,5100,55
2022-12-13,41.876667,42.083332,41.703335,42.083332,42.083332,8100,56
2022-12-14,42.09,42.549999,41.943333,42.119999,42.119999,40200,57
2022-12-15,41.316666,41.316666,40.903332,41,41,12300,58
2022-12-16,40.883331,41.156666,40.206669,40.996666,40.996666,8700,59
2022-12-19,40.806667,40.806667,39.833332,39.886665,39.886665,18600,60
2022-12-20,39.763332,40.580002,39.763332,40.48,40.48,14700,61
2022-12-21,40.713333,41.466667,40.713333,41.333332,41.333332,15000,62
2022-12-22,40.943333,41.23,40.630001,41.220001,41.220001,18600,63
2022-12-23,41.016666,41.016666,40.43,40.59,40.59,12000,64
2022-12-27,40.540001,40.549999,39.799999,39.799999,39.799999,14700,65
2022-12-28,39.77,39.903332,39.493332,39.646667,39.646667,15000,66
2022-12-29,40.400002,40.896667,40.393333,40.709999,40.709999,14700,67
2022-12-30,40.400002,41.003334,40.243332,41.003334,41.003334,88200,68
2023-01-03,41.099998,41.099998,39.706669,39.923332,39.923332,13800,69
2023-01-04,39.923332,39.970001,39.630001,39.796665,39.796665,12300,70
2023-01-05,39.443333,39.543331,39.293331,39.376667,39.376667,15600,71
2023-01-06,39.343334,40.060001,39.053333,39.956669,39.956669,7800,72
2023-01-09,40.183334,40.183334,39.419998,39.436668,39.436668,10500,73
