Date,Day_of_the_week,App,Minutes,Category
8/31,Thursday,TIKTOK,120,Entertainment
8/31,Thursday,MESSAGES,90,Other
8/31,Thursday,INSTAGRAM,34,Social Media
8/31,Thursday,SNAPCHAT,29,Social Media
8/31,Thursday,GOOGLE,7,Education
8/31,Thursday,FANTASY,4,Other
9/1,Friday,TIKTOK,167,Entertainment
9/1,Friday,MESSAGES,68,Other
9/1,Friday,SNAPCHAT,44,Social Media
9/1,Friday,INSTAGRAM,19,Social Media
9/1,Friday,MAPS,9,Other
9/1,Friday,GOOGLE,8,Education
9/1,Friday,X,6,Social Media
9/1,Friday,TEAMSNAP,4,Other
9/1,Friday,FANTASY,3,Other
9/2,Saturday,TIKTOK,227,Entertainment
9/2,Saturday,SNAPCHAT,88,Social Media
9/2,Saturday,MESSAGES,74,Other
9/2,Saturday,INSTAGRAM,40,Social Media
9/2,Saturday,SLEEPER,35,Other
9/2,Saturday,FANTASY,29,Other
9/2,Saturday,GOOGLE,27,Education
9/2,Saturday,X,23,Social Media
9/2,Saturday,YOUTUBE,5,Entertainment
9/2,Saturday,PHOTOS,4,Other
9/2,Saturday,TEAMSNAP,2,Other
9/3,Sunday,TIKTOK,207,Entertainment
9/3/2023,Sunday,SNAPCHAT,86,Social Media
9/3/2023,Sunday,INSTAGRAM,68,Social Media
9/3/2023,Sunday,MESSAGES,63,Other
9/3/2023,Sunday,X,20,Social Media
9/3/2023,Sunday,GOOGLE,9,Education
9/3/2023,Sunday,CAMERA,3,Other
9/3/2023,Sunday,SLEEPER,3,Other
9/3,Sunday,YOUTUBE,2,Entertainment
9/3/2023,Sunday,TEAMSNAP,2,Other
9/3/2023,Sunday,PHOTOS,2,Other
9/3/2023,Sunday,ESPN,1,Other
9/3/2023,Sunday,LIFE360,1,Other
9/4/2023,Monday,TIKTOK,165,Entertainment
9/4/2023,Monday,MESSAGES,94,Other
9/4/2023,Monday,SNAPCHAT,58,Social Media
9/4,Monday,INSTAGRAM,44,Social Media
9/4,Monday,GOOGLE,37,Education
9/4,Monday,YOUTUBE,21,Entertainment
9/4,Monday,X,20,Social Media
9/4,Monday,SETTINGS,15,Other
9/4,Monday,SAFARI,11,Education
9/4,Monday,AOL,5,Other
9/4,Monday,FANTASY,4,Other
9/5,Tuesday,TIKTOK,156,Entertainment
9/5,Tuesday,MESSAGES,87,Other
9/5,Tuesday,INSTAGRAM,38,Social Media
9/5,Tuesday,CLOCK,33,Other
9/5,Tuesday,SNAPCHAT,23,Social Media
9/5,Tuesday,GOOGLE,18,Education
9/5,Tuesday,X,16,Social Media
9/5,Tuesday,NOTES,12,Other
9/5,Tuesday,CALCULATER ,8,Education
9/5,Tuesday,SETTINGS,3,Other
9/5,Tuesday,TEAMSNAP,3,Other
9/5,Tuesday,AOL,2,Other
9/6,Wednesday,TIKTOK,126,Entertainment
9/6,Wednesday,MESSAGES,72,Other
9/6,Wednesday,SNAPCHAT,39,Social Media
9/6,Wednesday,CLOCK,37,Other
9/6,Wednesday,INSTAGRAM,32,Social Media
9/6,Wednesday,GOOGLE,24,Education
9/6,Wednesday,X,15,Social Media
9/6,Wednesday,CAMERA,14,Other
9/6,Wednesday,WHATSAPP,14,Other
9/6,Wednesday,TEAMSNAP,10,Other
9/6,Wednesday,AOL,7,Other
9/6,Wednesday,YOUTUBE,6,Entertainment
9/7,Thursday,TIKTOK,115,Entertainment
9/7,Thursday,MESSAGES,69,Other
9/7,Thursday,SNAPCHAT,48,Social Media
9/7,Thursday,INSTAGRAM,42,Social Media
9/7,Thursday,CLOCK,,Other
9/7,Thursday,TEAMSNAP,7,Other
9/7,Thursday,FANTASY,7,Other
9/7,Thursday,GOOGLE,6,Education
